Data Medicao,"NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(nÃºmero)","PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(Â°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",Unnamed: 7,Nome,Codigo Estacao,Latitude,Longitude,Altitude,Situacao,Data Inicial,Data Final,Periodicidade da Medicao
2015-02-28,12.0,"154,6","963,254911","22,288244","12,1",",925744",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-03-31,10.0,"105,4","964,666263","21,759543","8,3",",971371",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-04-30,9.0,"204,8","966,427361","19,289722","10,6","1,265972",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-05-31,13.0,195,"967,85672","16,239247","11,7","1,114919",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-06-30,11.0,"270,6","969,170972","14,267639",10,"1,166667",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-07-31,22.0,"245,8","967,709274","13,572177","10,1","1,199731",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-08-31,9.0,"99,8","966,029465","17,859964","9,5",",680972",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-09-30,16.0,141,"964,033889","16,184306","10,4","1,470139",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-10-31,15.0,"194,4","964,350134","18,520699","11,4","2,284005",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-11-30,12.0,"163,6","962,243889","20,0075","9,3","2,318472",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2015-12-31,20.0,"511,2","962,058602","21,936828","12,7","1,481452",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-01-31,10.0,"194,4","962,239808","23,994834","8,2","1,304167",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-02-29,13.0,108,"963,186638","23,353879","12,1",",541379",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-03-31,15.0,195,"965,630242","20,150269","10,5","1,225538",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-04-30,16.0,"133,6","964,976944","20,737778","9,7",",885694",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-05-31,13.0,"50,2","969,119086","13,61922",8,",935349",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-06-30,8.0,7,"971,584583","10,375139","9,5",",865556",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-07-31,14.0,"130,2","968,18414","12,989785","9,9",",987097",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-08-31,13.0,"110,6","967,275666","14,598042","10,8","1,100006",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-09-30,9.0,"57,2","968,470139","14,601528","11,1","1,288056",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-10-31,12.0,"317,6","964,298656","18,139382","14,5","1,555242",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-11-30,11.0,199,"963,988611","20,197222","15,2","1,419722",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2016-12-31,12.0,"87,6","962,083333","22,581317","10,3",",88172",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-01-31,16.0,"274,8","963,097043","22,579032",10,",510349",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-02-28,14.0,133,"962,80878","22,703423","7,5",",219196",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-03-31,12.0,"182,4","964,922177","21,394355",13,",711962",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-04-30,14.0,"253,2","966,418333","18,104306","11,9","1,279444",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-05-31,20.0,"404,6","966,274866","16,362903","14,5","2,870027",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-06-30,13.0,143,"968,207083","14,1925","9,3","2,771389",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-07-31,2.0,"10,2","972,534526","14,780119","8,1","2,709409",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-08-31,10.0,"118,2","967,02957","15,385484","13,6","3,781317",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-09-30,12.0,"102,6","967,167778","19,292222","9,2","3,570833",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-10-31,15.0,"174,6","963,192608","18,455107","19,1","3,568145",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-11-30,12.0,196,"962,540833","19,955278","10,6","3,661806",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2017-12-31,9.0,"102,8","961,523925","23,058737","11,3","3,253629",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-01-31,16.0,"361,2","962,426478","22,052151","9,2","2,960753",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-02-28,11.0,"81,4","963,552976","21,353274","11,1","2,726935",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-03-31,18.0,"240,6","962,987231","20,974328","9,6","2,651075",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-04-30,11.0,,"967,175","21,341667","11,7","2,571111",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-05-31,10.0,98,"968,164651","16,340457","9,3","2,725941",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-06-30,18.0,"86,8","969,160833","11,721667","11,3","2,835833",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-07-31,17.0,"72,2","968,79422","12,869489","8,4","3,074194",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-08-31,14.0,"76,6","969,455382","11,788827","10,3","3,452449",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-09-30,14.0,189,"964,851389","17,136667","16,7","3,43875",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-10-31,11.0,"178,6","964,268548","18,458199","9,2","4,28078",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-11-30,10.0,"258,8","963,096528","21,726944","11,4","4,113611",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2018-12-31,11.0,"76,4","963,423522","22,237634","12,7","3,376747",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-01-31,16.0,"266,2","963,736425","23,729301","9,4","3,012231",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-02-28,11.0,113,"963,576786","21,518006","9,3","3,24122",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-03-31,10.0,"111,8","965,77981","20,353337","7,8","3,116859",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-04-30,9.0,"110,4","965,150556","20,090417","9,2","2,898472",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-05-31,21.0,"305,4","966,116935","16,840054","8,6","3,35793",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-06-30,7.0,"35,2","968,424722","16,2925","9,7","3,121389",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-07-31,13.0,"156,2","969,376613","12,009274",8,"2,95121",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-08-31,7.0,"72,6","970,693817","13,209274","10,5","3,822043",, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-09-30,2.0,,,,,,, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-10-31,3.0,,,,,,, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
2019-11-30,,,,,,,, CRUZ ALTA, A853, -28.60344, -53.673597, 426.69, Operante, 2008-01-01, 2023-05-30, Mensal
