product,grape,score,avg_price_liter
"Marcelo  Pelleriti 'Signature' Malbec, Uco Valley",  Malbec  ,90.0,129.33
"Argento AG Forty Seven  Malbec - Shiraz, Mendoza",  Malbec - Syrah  ,,97.33
"Catena Zapata  'Angelica Zapata Alta' Merlot, Mendoza",  Merlot  ,90.0,194.67
"Bodega Tapiz 'Las Notas de  Jean Claude', Mendoza",  Red Blend  ,92.0,544.0
"Pulenta Estate VII  Gran Corte, Agrelo",  Bordeaux Blend Red  ,92.0,365.33
"Alta Vista 'Terroir  Selection' Malbec, Mendoza",  Malbec  ,91.0,162.67
"La Mascota Vineyards Malbec,  Maipu",  Malbec  ,88.0,105.33
"Bodega El Esteco Malbec,  Calchaqui Valley",  Malbec  ,89.0,113.33
"Luca G Lot Chardonnay, Mendoza,",  Chardonnay  ,91.0,210.67
"Terrazas  de los Andes Afincado - Single Vineyard Las Compuertas Malbec, Las Compuertas",  Malbec  ,92.0,341.33
"Familia  Zuccardi 'Poligonos del Valle de Uco' Paraje Altamira Malbec, Uco Valley",  Malbec  ,92.0,186.67
"DiamAndes 'Diamandes  de Uco' Gran Reserva, Uco Valley",  Cabernet Sauvignon - Malbec  ,91.0,276.0
"Catena  Zapata 'Catena' Appellation Vista Flores Malbec, Uco Valley",  Malbec  ,88.0,113.33
"Vinalba Reserva Malbec Mendoza,",  Malbec  ,90.0,105.33
"PerSe  'Uni del Bonnesant', Gualtallary",  Malbec  ,97.0,1118.67
"Matias Riccitelli  Kungfu Malbec, Mendoza",  Malbec  ,91.0,170.67
"Susana  Balbo Wines Susana Balbo Signature Barrel Fermented Torrontes, Uco Valley",  Torrontes  ,92.0,154.67
"Rutini Apartado Gran  Malbec, Mendoza",  Malbec  ,91.0,576.0
"Don Miguel Gascon Malbec,  Mendoza",  Malbec  ,86.0,89.33
"Bodega y Cavas de  Weinert Gran Vino, Lujan de Cuyo",  Bordeaux Blend Red  ,90.0,284.0
"Alta Vista Vive Malbec, Mendoza,",  Malbec  ,87.0,73.33
"Tinto Negro Malbec, Mendoza,",  Malbec  ,86.0,81.33
"Bemberg  Estate Wines 'La Linterna' Parcela No. 5 Finca El Tomillo Malbec, Gualtallary",  Malbec  ,92.0,722.67
"Tilia Malbec, Mendoza",  Malbec  ,87.0,73.33
"Mosquita  Muerta Blend de Tintas, Uco Valley",  Bordeaux Blend Red  ,91.0,162.67
"Finca La Anita  Single Vineyard Luna Malbec, Agrelo",  Malbec  ,87.0,89.33
"Marcelo  Pelleriti 'Signature' Cabernet Franc, Uco Valley",  Cabernet Franc  ,90.0,121.33
"Domaine  Nico Soeur et Freres La Savante Pinot Noir, Mendoza",  Pinot Noir  ,93.0,308.0
"Trapiche  Manos Malbec, San Carlos",  Malbec  ,91.0,828.0
"Fabre  Montmayou Reserva Cabernet Franc, Lujan de Cuyo",  Cabernet Franc  ,90.0,97.33
"Domaine  Bousquet 'Natural Origins' Malbec, Tupungato",  Malbec  ,,32.0
"Bodega  Vistalba Tomero Pinot Noir Rose, Los Arboles",  Pinot Noir  ,90.0,89.33
"Mi Terruno Mayacaba Malbec,  Mendoza",  Malbec  ,90.0,244.0
"Pascual Toso  'Magdalena Toso' Malbec, Barrancas",  Malbec  ,92.0,665.33
"Bodega  Monteviejo Lindaflor Malbec, Vista Flores",  Malbec  ,91.0,446.67
"Calibre Malbec, Uco Valley,",  Malbec  ,87.0,81.33
"Vina Cobos Vinculum Malbec,  Mendoza",  Malbec  ,94.0,478.67
"Santa Julia Reserva  Malbec, Uco Valley",  Malbec  ,88.0,81.33
"Bodegas Santa Ana Malbec, Mendoza,",  Malbec  ,84.0,57.33
"Vina  Cobos Chanares Estate Cabernet Franc, Los Arboles",  Cabernet Franc  ,92.0,738.67
"La Mascota  Vineyards 'Unanime' Signature Cabernet Sauvignon, Mendoza",  Cabernet Sauvignon  ,92.0,252.0
"Fabre Montmayou 'H J.  Fabre' Reserva Malbec, Mendoza",  Malbec  ,89.0,129.33
"Bodega Cuarto Dominio  'Lote 44-Cuarenta y Cuatro' Malbec, Mendoza",  Malbec  ,86.0,81.33
"Flechas  de los Andes 'Gran Corte', Vista Flores",  Red Blend  ,90.0,308.0
"Familia  Zuccardi 'Zuccardi Q' Chardonnay, Tupungato",  Chardonnay  ,90.0,129.33
"Catena 'Alamos' Chardonnay, Mendoza,",  Chardonnay  ,87.0,73.33
"Altos Las Hormigas  'Colonia Las Liebres' Bonarda, Mendoza",  Bonarda  ,88.0,65.33
"Catena  Zapata 'Catena Appellation San Carlos' Cabernet Franc, Mendoza",  Cabernet Franc  ,90.0,137.33
"Pulenta Estate Malbec I,  Agrelo",  Malbec  ,90.0,170.67
"Trivento Reserve Cabernet  Sauvignon, Maipu",  Cabernet Sauvignon  ,86.0,65.33
"Catena Zapata  Saint Felicien Malbec, Lunlunta",  Malbec  ,87.0,81.33
"Kirkland Signature Malbec,  Mendoza",  Malbec  ,85.0,57.33
"Nieto Senetiner  Malbec, Lujan de Cuyo",  Malbec  ,88.0,73.33
"Familia Zuccardi 'Zuccardi  Q' Tempranillo, Mendoza",  Tempranillo  ,89.0,137.33
"Susana Balbo  Wines BenMarco Cabernet Sauvignon, Uco Valley",  Cabernet Sauvignon  ,91.0,121.33
"Bodega Aleanna 'El Enemigo'  Semillon, Mendoza",  Semillon  ,91.0,154.67
"Bodega Chacra  'Nacha' Pinot Noir Rose, Rio Negro",  Pinot Noir  ,,194.67
"Bodega y  Cavas de Weinert Malbec Estrella, Lujan de Cuyo",  Malbec  ,93.0,1285.33
"Bodegas Piedra  Negra Chacayes, Los Chacayes",  Malbec  ,92.0,421.33
"Finca Las Moras 'Mora Negra',  San Juan",  Bonarda - Malbec  ,90.0,244.0
"Renacer Punto Final  Clasico Malbec, Mendoza",  Malbec  ,87.0,89.33
"Luca Beso de Dante, Uco  Valley",  Cabernet Sauvignon - Malbec  ,92.0,276.0
"Mendoza Vineyards - MV  Malbec, Mendoza",  Malbec  ,86.0,49.33
"Finca Las Moras 'Dada' Art Wine  1, San Juan",  Bonarda - Malbec  ,91.0,49.33
"Chakana Ayni  Malbec, Altamira",  Malbec  ,91.0,170.67
"Catena  Zapata 'Catena' Appellation La Consulta Malbec, Uco Valley",  Malbec  ,90.0,146.67
"Mosquita  Muerta 'Sapo de Otro Pozo' Blend de Tintas, Uco Valley",  Cabernet - Malbec - Syrah  ,91,137.33
"Familia Schroeder Estate  Malbec, Patagonia",  Malbec  ,87,121.33
"Bodega El  Esteco 'Old Vines' 1945 Torrontes, Cafayate",  Torrontes  ,92,129.33
"Trapiche Gran Medalla  Malbec, Mendoza",  Malbec  ,90,218.67
"Bodega Norton  Barrel Select Malbec, Mendoza",  Malbec  ,86,81.33
"Navarro  Correas Alegoria Gran Reserva Malbec, Mendoza",  Malbec  ,90,154.67
"Luca Nico  Malbec, La Consulta",  Malbec  ,92,697.33
"Alta Vista Premium Malbec,  Mendoza",  Malbec  ,88,105.33
"Hermandad Malbec, Uco  Valley",  Malbec  ,89,154.67
"Catena  Zapata 'White Clay' Semillon - Chenin, Lujan de Cuyo",  White Blend  ,89,146.67
"Piattelli Vineyards  Torrontes, Cafayate",  Torrontes  ,88,89.33
"Durigutti Malbec, Mendoza,",  Malbec  ,88,105.33
"Pacheco  Pereda Estirpe Organic Cabernet Franc, Agrelo",  Cabernet Franc  ,92,97.33
"Altos Las  Hormigas 'Terroir Valle de Uco' Malbec, Uco Valley",  Malbec  ,89,113.33
"Pyros 'Valle de  Pedernal - Appellation' Malbec, San Juan",  Malbec  ,89,121.33
"Altocedro  Malbec Reserva, La Consulta",  Malbec  ,90,210.67
"Familia Zuccardi Emma  Bonarda, Mendoza",  Bonarda  ,91,244.0
"Bodegas  Salentein Numina Spirit Vineyard Malbec, Uco Valley",  Malbec  ,90,154.67
"Bodega Vistalba Corte B, Vistalba,",  Red Blend  ,90,154.67
"Dona  Paula Seleccion de Bodega Malbec, Gualtallary",  Malbec  ,93,276.0
"Matias  Riccitelli 'Hey Malbec', Lujan de Cuyo",  Malbec  ,89,105.33
"Matias  Riccitelli 'Old Vines from Patagonia' Semillon, Rio Negro",  Semillon  ,93,316.0
"Familia  Zuccardi 'Poligonos del Valle de Uco' San Pablo Cabernet Franc, Tunuyan",  Cabernet Franc  ,92,178.67
"Altar Uco 'Edad  Media' Blanco, Uco Valley",  Sauvignon Blanc  ,93,292.0
"Domaine  Bousquet Reserva Malbec, Tupungato",  Malbec  ,89,97.33
"Wapisa Malbec, Rio Negro,",  Malbec  ,90,105.33
"Lagarde Malbec, Mendoza",  Malbec  ,88,105.33
"Bodega Vistalba Corte A, Vistalba,",  Red Blend  ,91,373.33
