product,grape,score,avg_price_liter
"Morande Gran Reserva  Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,89.0,121.33
"Montes Muse Cabernet Sauvignon,  Maipo Valley",  Cabernet Sauvignon  ,,608.0
"Undurraga  T.H. 'Terroir Hunter' Alto Maipo Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,92.0,146.67
"Vina Aquitania Sol de Sol  Chardonnay, Malleco Valley",  Chardonnay  ,93.0,178.67
"Miguel  Torres Cordillera de Los Andes Reserva Especial Carmenere, Peumo",  Carmenere  ,90.0,121.33
"MontGras Ninquen Mountain  Vineyard, Colchagua Valley",  Cabernet - Syrah/Shiraz  ,90.0,276.0
"Santa Carolina  Reserva de Familia Cabernet Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,89.0,146.67
"Clos du Lican, Apalta,",  Syrah  ,93.0,665.33
"Casa  Silva Microterroir de los Lingues Carmenere, Colchagua Valley",  Carmenere  ,92.0,300.0
"Vina San Pedro 1865  Single Vineyard Carmenere, Maule Valley",  Carmenere  ,88.0,121.33
"VIK 'La Piu Belle'  Rose, Millahue",  Rose Blend  ,88.0,194.67
"Polkura Syrah, Colchagua Valley,",  Syrah  ,91.0,137.33
"Errazuriz Estate  Series Carmenere, Aconcagua Valley",  Carmenere  ,86.0,73.33
"Emiliana  Signos de Origen 'La Quebrada' Syrah, Casablanca Valley",  Syrah  ,91.0,121.33
"Vina  von Siebenthal 'Tatay de Cristobal' Carmenere, Aconcagua Valley",  Carmenere  ,91.0,54.67
"Errazuriz Max Reserva  Carmenere, Aconcagua Valley",  Carmenere  ,89.0,105.33
"Carmen Gold Reserva Cabernet  Sauvignon, Maipo Valley",  Cabernet Sauvignon  ,91.0,641.33
"Errazuriz Late  Harvest Sauvignon Blanc, Casablanca Valley",  Sauvignon Blanc  ,88.0,129.33
"Santa Carolina 'Carolina'  Reserva Carmenere, Rapel Valley",  Carmenere  ,87.0,73.33
"Cousino Macul 'Finis  Terrae', Maipo Valley",  Cabernet Sauvignon - Merlot  ,90.0,186.67
"Casillero del Diablo  Reserva Malbec, Rapel Valley",  Malbec  ,87.0,65.33
