product,grape,score,avg_price_liter
Casa Macieira Five Star  Royal Brandy,  Brandy  ,,97.33
"Casa Ferreirinha Planalto  Reserva, Douro",  Portuguese White Blend  ,87.0,73.33
"Quinta do Vale D. Dona  Maria 'Vinha do Rio', Douro",  Portuguese Red Blend  ,94.0,794.67
"Altano, Douro",  Portuguese Red Blend  ,86.0,73.33
"Quinta  de Soalheiro Primeiras Vinhas Alvarinho, Vinho Verde",  Albarino (Alvarinho)  ,91.0,129.33
"Guarda Rios  Tinto, Vinho Regional Alentejano",  Portuguese Red Blend  ,86.0,89.33
"Quinta do Poeira 'Poeira', Douro,",  Portuguese Red Blend  ,92.0,324.0
W & J  Graham's 30 Year Old Tawny Port,  Port Blend Red  ,92.0,786.67
"Bacalhoa  - Caves Alianca 'Quinta da Bacalhoa' Cabernet Sauvignon, Vinho Regional Setubal Peninsula,",  Cabernet Sauvignon  ,90,178.67
Real Companhia  Velha Royal Oporto Vintage Port,  Port Blend Red  ,87,649.33
"Herdade do Esporao 'Esporao'  Reserva Branco, Alentejo",  Portuguese White Blend  ,89,113.33
"Herdade dos  Grous, Vinho Regional Alentejano",  Red Blend  ,88,97.33
Fonseca  Premium Reserve Bin 27 Port,  Port Blend Red  ,89,121.33
"Calem Colheita Port,",  Port Blend Red  ,91,276.0
Quinta do Crasto Vintage  Port,  Port Blend Red  ,91,308.0
Quinta do Passadouro  Vintage Port,  Port Blend Red  ,90,357.33
"Quinta do Vallado Touriga  Nacional, Douro",  Touriga Nacional  ,91,210.67
"Quinta  Nova de Nossa Senhora do Carmo 'Mirabilis' Branco, Douro",  Portuguese White Blend  ,91,373.33
Taylor Fladgate Chip  Dry White Port,  Port Blend White  ,86,121.33
"Sogrape Vinhos 'Legado'  Fernando Guedes, Douro",  Portuguese Red Blend  ,93,565.33
Wine & Soul Pintas  Vintage Port,  Port Blend Red  ,92,520.0
"Justino's Colheita, Madeira,",  Tinta Negra Mole  ,89,308.0
"Grao Vasco Tinto, Dao",  Portuguese Red Blend  ,84,65.33
"Azores Wine Co. Arinto dos Acores,  Pico",  Arinto (Pederna)  ,90,162.67
"Niepoort Vertente Tinto, Douro,",  Tinta Roriz (Aragonez) - Touriga  ,89,121.33
"Palacio da Brejoeira  Alvarinho, Vinho Verde",  Albarino (Alvarinho)  ,87,146.67
Sandeman 20 Year  Old Tawny Porto,  Port Blend Red  ,91,373.33
"Guarda  Rios Signature Tinto, Vinho Regional Alentejano",  Portuguese Red Blend  ,88,146.67
"Aveleda Loureiro -  Alvarinho, Vinho Verde",  Portuguese White Blend  ,87,57.33
"Aveleda Fonte, Vinho Verde,",  Portuguese White Blend  ,85,57.33
"Nicolau de Almeida  'Quinta do Monte Xisto', Douro",  Portuguese Red Blend  ,93,405.33
Real Companhia  Velha Royal Porto Colheita Port,  Port Blend Red  ,91,657.33
"Quinta do Crasto Tinta Roriz,  Douro",  Tinta Roriz  ,92,413.33
"Wine & Soul 'Guru' Branco, Douro,",  Portuguese White Blend  ,91,244.0
"Casa de Santar, Dao",  Portuguese Red Blend  ,87,65.33
"Quinta do Noval Touriga  Nacional, Douro",  Touriga Nacional  ,91,218.67
C. da Silva Dalva  Colheita Port,  Port Blend Red  ,91,397.33
"Luis Pato 'Vinha Pan' Tinto,  Beiras",  Alicante Bouschet  ,90,236.0
"Sandeman Fine Tawny Porto,",  Port Blend Red  ,87,105.33
Kopke 10 Year Old  Tawny Port,  Port Blend Red  ,90,194.67
"Casa  Ermelinda Freitas 'Fat Baron' Shiraz, Vinho Regional Peninsula de Setubal",  Shiraz  ,87,65.33
Offley Late  Bottled Vintage Port,  Port Blend Red  ,89,210.67
"Caves  Vidigal Porta 6 Tinto, Vinho Regional de Lisboa",  Portuguese Red Blend  ,86,57.33
"Cortes de  Cima Incognito, Vinho Regional Alentejano",  Syrah  ,90,738.67
"Alves de Sousa  Quinta da Gaivosa Tinto, Douro",  Portuguese Red Blend  ,90,276.0
"Luis Seabra 'Xisto Ilimitado',  Douro",  Portuguese Red Blend  ,90,129.33
"Luis Pato Vinhas Velhas, Beiras,",  Baga  ,89,162.67
"Casal Sta.  Maria Ramisco, Colares",  Ramisco  ,92,349.33
Niepoort Nat Cool  Drink Me Bairrada,  Baga  ,89,97.33
"Luis Pato Quinta do  Ribeirinho Pe Franco, Beiras",  Baga  ,93,1128.0
"Blandy's Vintage Sercial,  Madeira",  Sercial  ,93,476.0
Churchill's  Late Bottled Vintage Port,  Port Blend Red  ,89,162.67
C. da  Silva Dalva Golden Colheita White Port,  Port Blend White  ,93,1152.0
"Quinta do Crasto  'Xisto' Roquette e Cazes, Douro",  Tinta Roriz (Aragonez) - Touriga  ,91,462.67
"Niepoort 'Turris', Douro",  Portuguese Red Blend  ,95,828.0
Joa,  Red Blend  ,88,73.33
Ferreira Dona  Antonia Reserva Tawny Port,  Port Blend Red  ,87,121.33
"Kopke Colheita White Port,",  Port Blend White  ,92,349.33
Dow's 20 Year Old  Tawny Port,  Port Blend Red  ,91.0,405.33
"Jose  Maria da Fonseca Periquita Reserva, Vinho Regional Peninsula de Setubal",  Portuguese Red Blend  ,87.0,89.33
"Bacalhoa Quinta do Carmo  Tinto, Alentejo",  Portuguese Red Blend  ,89.0,137.33
"Filipa Pato  & William Wouter Nossa Calcario Baga, Beiras",  Baga  ,92.0,210.67
"Quinta do Portal Colheita, Douro,",  Tinta Roriz (Aragonez) - Touriga  ,88.0,97.33
"Quinta do Portal Reserva Tinto,  Douro",  Tinta Roriz (Aragonez) - Touriga  ,89.0,137.33
"Quinta do Mouro  Tinto, Vinho Regional Alentejano",  Red Blend  ,91.0,244.0
"Casa Ferreirinha Esteva  Tinto, Douro",  Portuguese Red Blend  ,87.0,73.33
Taylor Fladgate  Scion Vintage Port,  Port Blend Red  ,,870.67
