product,grape,score,avg_price_liter
"Emidio Pepe Trebbiano d'Abruzzo,",  Trebbiano (Ugni Blanc)  ,91,528.0
"Cavallotto  Bricco Boschis Vigna San Giuseppe, Barolo Riserva DOCG",  Nebbiolo  ,94,1178.67
"Gaja Costa Russi  Langhe-Barbaresco, Piedmont",  Nebbiolo  ,94,358.67
"E. Pira  & Figli Chiara Boschis Cannubi, Barolo DOCG",  Nebbiolo  ,93,849.33
"Giovanni Canonica  Paiagallo, Barolo DOCG",  Nebbiolo  ,93,142.67
"G. B. Burlotto Cannubi,  Barolo DOCG",  Nebbiolo  ,93,260.0
"Il Marroneto Brunello  di Montalcino DOCG, Tuscany",  Sangiovese  ,93,684.0
"Fattoria  Poggio di Sotto Brunello di Montalcino Riserva DOCG, Tuscany",  Sangiovese  ,94,1238.67
"Marchesi  Antinori Villa Antinori Riserva, Chianti Classico DOCG",  Chianti Blend  ,89,181.33
"Renato Ratti  Marcenasco, Barolo DOCG",  Nebbiolo  ,91,420.0
"Ruffino Riserva Ducale,  Chianti Classico Riserva DOCG",  Sangiovese  ,88,154.67
"Castello dei Rampolla '  d'Alceo' Toscana IGT, Tuscany",  Cabernet - Petit Verdot  ,94,905.33
"Massetino Toscana IGT, Tuscany",  Cabernet Franc - Merlot  ,93,129.33
"Massolino Barolo DOCG, Piedmont,",  Nebbiolo  ,91,334.67
"Le Chiuse Brunello di  Montalcino DOCG, Tuscany",  Sangiovese  ,93,610.67
"Vietti Rocche di  Castiglione, Barolo DOCG",  Nebbiolo  ,94,52.0
"Fontanafredda Barolo DOCG,  Piedmont",  Nebbiolo  ,90,416.0
"Gaja Dagromis, Barolo DOCG,",  Nebbiolo  ,91,652.0
"Vietti Lazzarito, Barolo DOCG,",  Nebbiolo  ,94,1214.67
"Fratelli  Lunelli Ferrari 'Giulio Ferrari' Riserva del Fondatore Metodo Classico Trentodoc, Trentino-Alto  Adige",  Chardonnay  ,93,1312.0
"Roagna Paje, Barbaresco DOCG,",  Nebbiolo  ,93,1141.33
"Podere Giodo  Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,93,840.0
"Produttori del  Barbaresco Rabaja, Barbaresco Riserva DOCG",  Nebbiolo  ,93,529.33
Giuseppe Quintarelli  'Alzero' Cabernet Veneto IGT,  Bordeaux Blend Red  ,93,6.67
"Gaja Sito Moresco Rosso  Langhe, Piedmont",  Red Blend  ,90,358.67
"Zenato  'Sergio Zenato' Amarone della Valpolicella Classico Riserva DOCG, Veneto",  Valpolicella Blend  ,92,644.0
"Cantine  Argiolas Turriga Isola dei Nuraghi Rosso IGT, Sardinia",  Grenache (Garnacha)  ,92,554.67
"Poderi Aldo  Conterno Barolo Bussia DOCG, Piedmont",  Nebbiolo  ,92,660.0
"Marchesi  Antinori Tenuta Guado al Tasso Il Bruciato Bolgheri, Tuscany",  Cabernet - Merlot - Syrah  ,90,188.0
"Tenuta Col  d'Orcia Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,91,366.67
"Elio  Grasso Ginestra Vigna Casa Mate, Barolo DOCG",  Nebbiolo  ,93,602.67
"G. B. Burlotto Barolo DOCG,  Piedmont",  Nebbiolo  ,92,798.67
"Falletto di  Bruno Giacosa Asili, Barbaresco DOCG",  Nebbiolo  ,92,4.0
"Marchesi Antinori Villa Antinori  Toscana IGT, Tuscany",  Cabernet - Merlot - Sangiovese  ,88,122.67
"Zenato Amarone  della Valpolicella Classico DOCG, Veneto",  Valpolicella Blend  ,91,366.67
"Masi Campofiorin Rosso del  Veronese IGT, Veneto",  Valpolicella Blend  ,88,114.67
"Felsina  Berardenga Rancia, Chianti Classico Riserva DOCG",  Sangiovese  ,92,350.67
"Fattoria Poggio di  Sotto Rosso di Montalcino, Tuscany",  Sangiovese  ,91,416.0
"Gaja Conteisa, Barolo DOCG,",  Nebbiolo  ,94,533.33
"Altesino  Montosoli, Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,93,676.0
"Poderi Aldo  Conterno Bussia Cicala, Barolo DOCG",  Nebbiolo  ,94,1068.0
"Caiarossa Rosso di Toscana IGT,  Tuscany",  Red Blend  ,92,448.0
"Gaja Ca'Marcanda Magari Toscana  IGT, Tuscany",  Cabernet Sauvignon - Merlot  ,91,464.0
"Gaja Ca'Marcanda 'Camarcanda'  Bolgheri, Tuscany",  Bordeaux Blend Red  ,93,1002.67
"Avignonesi Capannelle 50&50  Toscana IGT, Tuscany",  Merlot - Sangiovese  ,91,822.67
"Tenuta Argentiera  'Argentiera' Bolgheri Superiore, Tuscany",  Bordeaux Blend Red  ,93,628.0
"Giacomo  Conterno Vigna Francia Barbera d'Alba, Piedmont",  Barbera  ,92,481.33
"Vecchia Romagna  Etichetta Nera Brandy, Emilia-Romagna",  Brandy  ,90,146.67
"Siro  Pacenti PS Vecchie Vigne, Brunello di Montalcino DOCG",  Sangiovese  ,93,636.0
"Roberto Voerzio  Cerequio, Barolo DOCG",  Nebbiolo  ,93,313.33
"Marchesi  Antinori Tenuta Guado al Tasso Matarocchio Bolgheri Superiore, Tuscany",  Cabernet Franc  ,94,438.67
"Gravner Ribolla Venezia  Giulia IGT, Friuli-Venezia Giulia",  Ribolla  ,93,668.0
Fattoria Galardi Terra  di Lavoro Campania IGT,  Aglianico - Piedirosso  ,92,424.0
"San Giusto a  Rentennano 'La Ricolma' Merlot Toscana IGT, Tuscany",  Merlot  ,94,190.67
"The Yoga Syrah Terre  Siciliane IGT, Sicily",  Syrah  ,89,65.33
"Paolo  Scavino Rocche dell'Annunziata Riserva, Barolo DOCG",  Nebbiolo  ,93,28.0
"Mastroberardino  Radici Riserva, Taurasi DOCG",  Aglianico  ,92,374.67
"Domenico  Clerico Ciabot Mentin Ginestra, Barolo DOCG",  Nebbiolo  ,93,660.0
"Caparzo Brunello di  Montalcino DOCG, Tuscany",  Sangiovese  ,90,309.33
"Castello  di Ama 'San Lorenzo', Chianti Classico Gran Selezione DOCG",  Chianti Blend  ,92,334.67
"Elio Grasso  Gavarini Vigna Chiniera, Barolo DOCG",  Nebbiolo  ,93,586.67
"Marchesi  Antinori Badia a Passignano, Chianti Classico Gran Selezione DOCG",  Sangiovese  ,92,326.67
"Gianni Brunelli  Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,92,521.33
"Cantine  San Marzano 60 Sessantanni Old Vines Primitivo di Manduria, Puglia",  Primitivo  ,89,170.67
"Biondi Santi  Tenuta Greppo Rosso di Montalcino, Tuscany",  Sangiovese  ,91,554.67
"Ornellaia  Vendemmia d'Artista Special Edition Bolgheri Superiore, Tuscany",  Bordeaux Blend Red  ,93,161.33
Azienda Agricola Valentini  Montepulciano d'Abruzzo,  Montepulciano  ,92,810.67
"Produttori del  Barbaresco Asili, Barbaresco Riserva DOCG",  Nebbiolo  ,93,505.33
"Canalicchio di  Sopra Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,92,709.33
"Poggio Antico  Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,92,424.0
"Nervi Conterno Gattinara  DOCG, Piedmont",  Nebbiolo  ,91,440.0
"Tenuta Sette Ponti Podere  Orma 'Orma' Toscana IGT, Tuscany",  Bordeaux Blend Red  ,93,440.0
"G.D. Vajra Albe, Barolo DOCG,",  Nebbiolo  ,91,285.33
"Poderi Oddero Barolo DOCG,  Piedmont",  Nebbiolo  ,91,374.67
"Gaja Rossj-Bass Langhe, Piedmont,",  Chardonnay  ,90,497.33
"Castello di  Monsanto Chianti Classico Riserva DOCG, Tuscany",  Chianti Blend  ,91,188.0
"Marchesi  Frescobaldi Castello di Nipozzano 'Nipozzano', Chianti Rufina Riserva DOCG",  Chianti Blend  ,89,130.67
"Ciacci  Piccolomini d'Aragona Brunello di Montalcino DOCG, Tuscany",  Sangiovese  ,92,350.67
"Brancaia Il Blu Toscana IGT, Tuscany,",  Cabernet - Merlot - Sangiovese  ,92,505.33
"Lodovico  Antinori Tenuta di Biserno 'Lodovico' Toscana IGT, Tuscany",  Bordeaux Blend Red  ,94,316.0
"Barone  Ricasoli 'CeniPrimo', Chianti Classico Gran Selezione DOCG",  Sangiovese  ,93,489.33
"Giacomo Borgogno &  Figli Barolo DOCG, Piedmont",  Nebbiolo  ,91,505.33
"Roberto Voerzio La  Serra, Barolo DOCG",  Nebbiolo  ,93,305.33
"Fratelli  Alessandria Barolo Monvigliero, Barolo DOCG",  Nebbiolo  ,92,725.33
"Castello Banfi Excelsus  Sant'Antimo, Tuscany",  Cabernet Sauvignon - Merlot  ,91,358.67
