product,grape,score,avg_price_liter
"Bodegas Juan  Gil 18 Meses Blue Label Monastrell, Jumilla",  Monastrell  ,91,214.67
"Beronia Gran Reserva, Rioja DOCa,",  Tempranillo  ,90,222.67
"Bodegas  Toro Albala Don PX Gran Reserva, Montilla-Moriles",  Pedro Ximenez  ,91,437.33
"Torres Sangre de Toro  Original, Catalonia",  Carinena - Garnacha  ,85,65.33
"CVNE 'Cune' Crianza, Rioja DOCa,",  Rioja Red Blend  ,88,90.67
"Freixenet  Cordon Negro Gran Seleccion Brut Cava, Catalonia",  Cava Blend  ,86,73.33
"Torres  'Pago del Cielo' Celeste Crianza, Ribera del Duero",  Tempranillo  ,89,138.67
"Bodegas  Palacios Remondo 'Finca La Montesa', Rioja DOCa",  Rioja Red Blend  ,90,114.67
"Descendientes  de J. Palacios Villa de Corullon, Bierzo",  Mencia  ,92,301.33
"Bodega Numanthia Termes, Toro,",  Tinta de Toro  ,91,162.67
"Licor 43 Cuarenta y Tres Liqueur,",  Liqueur - Fruit  ,88,170.67
"Bodegas Emilio  Moro 'Malleolus', Ribera del Duero",  Tinto Fino  ,91,277.33
"Felix  Solis Vina Albali Reserva, Valdepenas",  Tempranillo  ,85,41.33
"Bodegas Terras Gauda O  Rosal, Rias Baixas",  Albarino (Alvarinho)  ,90,114.67
"CVNE 'Cune' Reserva, Rioja DOCa,",  Rioja Red Blend  ,90,146.67
"Bodegas Riojanas Monte Real  Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,91,301.33
"Bodegas Bilbainas Vina  Pomal Reserva, Rioja DOCa",  Tempranillo  ,89,122.67
"Dominio del  Aguila 'Canta La Perdiz', Ribera del Duero",  Red Blend  ,97,769.33
"CVNE Vinedos  del Contino 'Contino' Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,92,382.67
"Segura Viudas Reserva  Heredad Brut Cava, Catalonia",  Chardonnay - Viura  ,88,178.67
"Bodegas  Valduero 6 Anos 'Valduero' Reserva Premium, Ribera del Duero",  Tempranillo  ,92,440.0
"Federico Paternina Gran  Reserva, Rioja DOCa",  Tempranillo  ,89,400.0
"Alvaro  Palacios Quinon de Valmira, Rioja DOCa",  Rioja Red Blend  ,96,1112.0
"Granja  Nuestra Senora de Remelluri 'Remelluri' Gran Reserva, Rioja DOCa",  Rioja Red Blend  ,93,489.33
"Bodegas Contador -  Benjamin Romeo 'La Cueva del Contador', Rioja DOCa",  Tempranillo  ,93,481.33
"Bodegas Roda Cirsion, Rioja DOCa,",  Tempranillo  ,93,1296.0
"Dominio  del Aguila 'Picaro del Aguila' Vinas Viejas, Ribera del Duero",  Tempranillo  ,91,212.0
"Bodegas Alto  Moncayo 'Veraton' Garnacha, Campo de Borja",  Grenache (Garnacha)  ,91,204.0
"Pago  de los Capellanes Tinto Reserva, Ribera del Duero",  Tempranillo  ,91,261.33
